Num   LowBound  HighBound
  0    0.00001   1.841    
  1    0.173     3.300
  2    0.708     4.638
  3    1.367     5.918
  4    2.086     7.163
  5    2.840     8.382
  6    3.620     9.584
  7    4.419    10.77
  8    5.232    11.95
  9    6.057    13.11
 10    6.891    14.27
 11    7.734    15.42
 12    8.585    16.56
 13    9.441    17.70
 14   10.30     18.83
 15   11.17     19.96
 16   12.04     21.08
 17   12.92     22.20
 18   13.80     23.32
 19   14.68     24.44
 20   15.57     25.55
 21   16.45     26.66
 22   17.35     27.76
 23   18.24     28.87
 24   19.14     29.97
 25   20.03     31.07
 26   20.93     32.16
 27   21.84     33.26
 28   22.74     34.35
 29   23.65     35.45
 30   24.55     36.54
 31   25.46     37.63
 32   26.37     38.72
 33   27.28     39.80
 34   28.20     40.89
 35   29.11     41.97
 36   30.03     43.06
 37   30.94     44.14
 38   31.86     45.22
 39   32.78     46.30
 40   33.70     47.38
 41   34.62     48.46
 42   35.55     49.53
 43   36.47     50.61
 44   37.39     51.68
 45   38.32     52.76
 46   39.24     53.83
 47   40.17     54.90
 48   41.10     55.98
 49   42.02     57.05
 50   42.95     58.12
